AAA	Anaa, French Polynesia
AAB	Arrabury, Queensland, Australia
AAC	Al Arish, Egypt
AAE	Annaba [El Mellah], Algeria
AAF	Apalachicola, FL [Apalachicola Municipal Airport], USA
AAH	Aachen, Germany
AAI	Arraias, GO, Brazil
AAJ	Awaradam, Suriname
AAK	Aranuka, Kiribati
AAL	Aalborg, Denmark
AAM	Mala Mala, South Africa
AAN	Al Ain, United Arab Emirates
AAO	Anaco, Venezuela
AAP	Houston, TX [Andrau Airpark], USA
AAQ	Anapa, Russia
AAR	Aarhus [Tirstrup], Denmark
AAS	Apalapsili, New Guinea, Indonesia
AAT	Altay, China
AAU	Asau, Western Samoa
AAV	Alah, Philippines
AAX	Araxa, MG, Brazil
AAY	Al Ghaydah, Yemen
ABA	Abakan, Khakassia, Russia
ABB	Abingdon, England [Abingdon RAF Station], United Kingdom
ABD	Abadan, Iran
ABE	Allentown, PA [Allentown-Bethlehem-Easton Airport], USA
ABF	Abaiang, Kiribati
ABG	Abingoon, Queensland, Australia
ABH	Alpha, Queensland, Australia
ABI	Abilene, TX [Abilene Regional Airport], USA
ABJ	Abidjan [Felix Houphouet Boigny], Ivory Coast
ABK	Kabri Dar, Ethiopia
ABL	Ambler, AK [Ambler Airport], USA
ABM	Cape York, Queensland [Bamaga], Australia
ABN	Albina, Suriname
ABO	Aboisso, Ivory Coast
ABP	Atkamba, Papua New Guinea
ABQ	Albuquerque, NM [Albuquerque International Airport], USA
ABR	Aberdeen, SD [Aberdeen Regional Airport], USA
ABS	Abu Simbel, Egypt
ABT	Al Baha, Saudi Arabia
ABU	Atambua [Haliweni], Indonesia
ABV	Abuja, Nigeria
ABW	Abau, Papua New Guinea
ABX	Albury, New South Wales, Australia
ABY	Albany, GA [Southwest Georgia Regional Airport], USA
ABZ	Aberdeen, Scotland [Dyce], United Kingdom
ACA	Acapulco [General Juan N. Alvarez], Mexico
ACB	Bellaire, MI [Antrim County Airport], USA
ACC	Accra [Kotoka], Ghana
ACD	Acandi, Colombia
ACE	Arrecife, Canary Islands [Lanzarote], Spain
ACH	Altenrhein [Rorshach], Switzerland
ACI	Alderney, Channel Islands
ACJ	Americus, GA [Souther Field], USA
ACK	Nantucket, MA [Nantucket Memorial Airport], USA
ACM	Arica, Colombia
ACN	Ciudad Acuna, Mexico
ACO	Ascona, Switzerland
ACQ	Waseca, MN [Waseca Municipal Airport], USA
ACR	Araracuara, Colombia
ACS	Anacortes, WA, USA
ACT	Waco, TX [Waco Regional Airport], USA
ACU	Achutupo, Panama
ACV	Arcata/Eureka, CA [Arcata Airport], USA
ACY	Atlantic City, NJ [Atlantic City International Airport], USA
ACZ	Wallace, NC [Henderson Field], USA
ADA	Adana, Turkey
ADB	Izmir [Adnan Menderes], Turkey
ADC	Adana [Incirlik Air Base], Turkey
ADD	Addis Ababa [Bole], Ethiopia
ADE	Aden [International], Yemen
ADG	Adrian, MI [Lenawee County Airport], USA
ADH	Aldan, Yakutia-Sakha, Russia
ADJ	Amman [Marka], Jordan
ADK	Adak Island, AK [Adak Naval Air Station], USA
ADL	Adelaide, South Australia [International], Australia
ADM	Ardmore, OK [Ardmore Municipal Airport], USA
ADN	Andes, Colombia
ADO	Andamooka, South Australia, Australia
ADP	Anuradhapura, Sri Lanka
ADQ	Kodiak, AK [Kodiak Airport], USA
ADR	Andrews, SC [Andrews Municipal Airport], USA
ADS	Dallas, TX [Addison Airport], USA
ADT	Ada, OK [Ada Municipal Airport], USA
ADU	Audubon, IA [Audubon County Airport], USA
ADV	Andover, England, United Kingdom
ADW	Camp Springs, MD [Andrews Air Force Base], USA
ADX	St. Andrews, Scotland, United Kingdom
ADY	Alldays, South Africa
ADZ	San Andres Island, San Andres [Sesquicentenario], Colombia
AEA	Abemama Atoll, Kiribati
AEG	Aek Godang, Indonesia
AEH	Abeche, Chad
AEK	Aseki, Papua New Guinea
AEL	Albert Lea, MN [Albert Lea Municipal Airport], USA
AEO	Aioun el Atrouss, Mauritania
AEP	Buenos Aires [Aeroparque Jorge Newbery], Argentina
AER	Adler/Sochi, Krasnodar, Russia
AES	Alesund (Aalesund) [Vigra], Norway
AET	Allakaket, AK [Allakaket Airport], USA
AEX	Alexandria, LA [Alexandria International Airport], USA
AEY	Akureyri, Iceland
AFA	San Rafael, Argentina
AFF	Colorado Springs, CO [U.S. Air Force Academy Airstrip], USA
AFI	Amalfi, Colombia
AFL	Alta Floresta, Brazil
AFN	Jaffrey, NH [Jaffrey Municipal-Silver Ranch Airport], USA
AFO	Afton, WY [Afton Municipal Airport], USA
AFR	Afore, Papua New Guinea
AFW	Fort Worth, TX [Fort Worth Alliance Airport], USA
AFY	Afyon, Turkey
AGA	Agadir [Al Massira], Morocco
AGB	Augsburg, Germany
